identifier,name,description,url,startDate,endDate,openingHours,lotValue,lotPrice,lotPricePeriod,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,organizerName,organizerIdentifier,contactPointName,contactPointEmail,contactPointTelephone,contactPointURL,decisionType,decisionTitle,decisionNumber,decisionIssued,decisionURL,publisherName,publisherIdentifier
35,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-09-19 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
36,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-09-26 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
37,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-10-03 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
38,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-10-10 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
39,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-12-18 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
40,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-12-19 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
41,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-12-25 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
42,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-12-26 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
43,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-11-30 07:00-20:00,18,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,бул. Меотиди,9/28,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
44,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,5,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,пр. Перемоги,null,null,"Перетин пр. Перемоги, вул.130 Таганрозької дивізії",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
45,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,5,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,пр. Перемоги,null,null,Перетин пр. Перемоги та пр. Свободи,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
46,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,10,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,пр. Перемоги,21/43,null,Район площі Перемоги,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
47,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,5,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,вул. Азовстальська,39/7,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
48,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,4,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,вул. Олімпійська,157/1,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
49,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,5,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,вул. Київської,null,null,"Перетин вул. Київської, вул. 9 Травня, навпроти магазину «Сільпо»",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
50,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-08 07:00-20:00,5,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,вул. Олімпійська,197,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
51,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",20,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Курчатова,37,null,З торця будинку,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
52,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",5,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Бульварна,33-35,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
53,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",4,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Прикордонна,38,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
54,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",4,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Високовольтна,32,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
55,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",20,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,пров. Запорізький ,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
56,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",10,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Васнецова,270,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
57,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",1,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Північна,null,null,с. Зірка,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
58,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 07:00-15:00",3,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Світла,103,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
59,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,Чт 07:00-15:00,5,null,null,87500,Україна,Донецька область,Кальміуський ,Каменськ,вул. Переможна,9,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
60,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-16:00,8,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,пр. Металургів,156,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
61,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-16:00,8,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,пр. Металургів,174,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
62,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-16:00,8,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Маміна-Сибіряка ,null,null,Район зупинки,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
63,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-16:00,5,null,null,87500,Україна,Донецька область,Кальміуський ,Маріуполь,вул. Курчатова,37,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
64,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-16:00,5,null,null,87500,Україна,Донецька область,Кальміуський ,Каменськ,вул. Першотравнева,70-А,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
